"","A_chr","A_start","A_end","A_peak","C_chr","C_start","C_end","C_peak","overlap"
"49","chr1",180279560,180280202,"union_peak_3245","chr1",180279663,180280341,"union_peak_2039",539
"50","chr10",19356207,19357394,"union_peak_3971","chr10",19355982,19356572,"union_peak_2481",365
"51","chr1",151381720,151382488,"union_peak_2437","chr1",151381603,151381853,"union_peak_1516",133
"52","chr4",8783225,8783821,"union_peak_35187","chr4",8783153,8784058,"union_peak_21942",596
"53","chr8",111061837,111063028,"union_peak_49933","chr8",111062073,111062761,"union_peak_31173",688
"54","chr14",118682476,118682943,"union_peak_17769","chr14",118682480,118682763,"union_peak_11037",283
"55","chr14",78306825,78308286,"union_peak_17549","chr14",78306726,78307426,"union_peak_10885",601
"56","chr17",44766301,44766876,"union_peak_23819","chr17",44766470,44767013,"union_peak_14814",406
"57","chr3",101245098,101245875,"union_peak_34021","chr3",101245198,101245812,"union_peak_21179",614
"58","chr11",61660693,61661300,"union_peak_8269","chr11",61660633,61661264,"union_peak_5197",571
"59","chr11",21164160,21165006,"union_peak_7178","chr11",21164172,21164877,"union_peak_4529",705
"60","chr11",86839505,86840175,"union_peak_9438","chr11",86839695,86840113,"union_peak_5883",418
"61","chr11",21140677,21141459,"union_peak_7173","chr11",21141082,21141577,"union_peak_4527",377
"62","chr2",26622818,26623478,"union_peak_28810","chr2",26622648,26623577,"union_peak_17944",660
"63","chr2",101978756,101979447,"union_peak_30395","chr2",101978736,101979356,"union_peak_18953",600
"64","chr7",125541605,125542311,"union_peak_47403","chr7",125541602,125542041,"union_peak_29643",436
"65","chr7",24378093,24378747,"union_peak_45030","chr7",24378061,24378912,"union_peak_28180",654
"66","chr19",54047205,54047859,"union_peak_28034","chr19",54047581,54047963,"union_peak_17450",278
"67","chr4",47746446,47747035,"union_peak_35787","chr4",47746538,47746908,"union_peak_22343",370
"68","chr10",24823495,24824447,"union_peak_4185","chr10",24823652,24824426,"union_peak_2618",774
"69","chr8",114888357,114889227,"union_peak_50011","chr8",114888433,114889101,"union_peak_31227",668
"70","chr1",160039849,160040293,"union_peak_2668","chr1",160039797,160040373,"union_peak_1658",444
"71","chr17",28117473,28118119,"union_peak_23001","chr17",28117585,28117930,"union_peak_14316",345
"72","chr16",57399653,57399886,"union_peak_21712","chr16",57399377,57399753,"union_peak_13478",100
"73","chr15",61428704,61429254,"union_peak_18777","chr15",61428638,61429304,"union_peak_11695",550
"74","chr19",46517220,46517779,"union_peak_27842","chr19",46517344,46517870,"union_peak_17326",435
"75","chr11",105901383,105902039,"union_peak_10379","chr11",105901638,105902222,"union_peak_6453",401
"76","chr11",52223961,52224880,"union_peak_7827","chr11",52223662,52225054,"union_peak_4926",919
"77","chr7",19945693,19946481,"union_peak_45014","chr7",19945465,19946395,"union_peak_28169",702
"78","chr4",111687015,111688033,"union_peak_36571","chr4",111687312,111688204,"union_peak_22864",721
"79","chr11",86822580,86822875,"union_peak_9434","chr11",86822536,86822800,"union_peak_5880",220
"80","chr17",34313512,34313891,"union_peak_23505","chr17",34313312,34313821,"union_peak_14617",309
"81","chr2",9577925,9578344,"union_peak_28377","chr2",9577790,9578162,"union_peak_17655",237
"82","chr15",59089662,59090473,"union_peak_18695","chr15",59089494,59090327,"union_peak_11641",665
"83","chr10",41682596,41683204,"union_peak_4473","chr10",41682491,41683302,"union_peak_2806",608
"84","chr8",123384906,123385594,"union_peak_50445","chr8",123384862,123385660,"union_peak_31450",688
"85","chr12",17471264,17471943,"union_peak_11525","chr12",17471186,17471962,"union_peak_7127",679
"86","chr11",52035488,52036344,"union_peak_7809","chr11",52036178,52036588,"union_peak_4913",166
"87","chr6",99350398,99350986,"union_peak_43356","chr6",99350395,99351277,"union_peak_27065",588
"88","chr12",73887932,73888549,"union_peak_12285","chr12",73888348,73888621,"union_peak_7609",201
"89","chr7",29126424,29126955,"union_peak_45309","chr7",29126763,29127112,"union_peak_28353",192
"90","chr10",19619619,19620164,"union_peak_3995","chr10",19619467,19620204,"union_peak_2499",545
"91","chr16",24974572,24975381,"union_peak_20995","chr16",24974611,24975394,"union_peak_13012",770
"92","chr8",13964473,13965277,"union_peak_48265","chr8",13964610,13965170,"union_peak_30153",560
"93","chr14",121994351,121994815,"union_peak_17932","chr14",121994257,121995244,"union_peak_11130",464
"94","chr18",35726680,35727018,"union_peak_25367","chr18",35726440,35726867,"union_peak_15805",187
"95","chr11",53450074,53450688,"union_peak_7877","chr11",53450108,53450527,"union_peak_4957",419
"96","chr5",124906825,124907465,"union_peak_40790","chr5",124906707,124907427,"union_peak_25512",602
"97","chr15",33083001,33083746,"union_peak_18335","chr15",33083197,33084051,"union_peak_11393",549
"98","chr3",101376626,101377646,"union_peak_34036","chr3",101376670,101377284,"union_peak_21188",614
"99","chr6",29838381,29839016,"union_peak_41869","chr6",29838099,29839086,"union_peak_26159",635
"100","chr13",28502183,28502601,"union_peak_14087","chr13",28502052,28502752,"union_peak_8698",418
"101","chr5",123021366,123021828,"union_peak_40645","chr5",123021222,123021920,"union_peak_25414",462
"102","chr14",118820006,118820546,"union_peak_17775","chr14",118820061,118820582,"union_peak_11040",485
"103","chr5",72817635,72818229,"union_peak_39392","chr5",72817828,72818484,"union_peak_24624",401
"104","chr13",30760291,30761719,"union_peak_14145","chr13",30760174,30761889,"union_peak_8735",1428
"105","chr17",34347624,34348247,"union_peak_23508","chr17",34347781,34348140,"union_peak_14619",359
"106","chr3",101066025,101066562,"union_peak_34009","chr3",101065999,101066659,"union_peak_21173",537
"107","chr10",18469431,18470045,"union_peak_3919","chr10",18469555,18470854,"union_peak_2446",490
"108","chr9",21455113,21455827,"union_peak_50964","chr9",21455262,21455779,"union_peak_31783",517
"109","chr6",125468047,125468805,"union_peak_43967","chr6",125467881,125468633,"union_peak_27464",586
"110","chr14",53553871,53554545,"union_peak_16703","chr14",53553923,53554540,"union_peak_10348",617
"111","chr5",134941828,134942164,"union_peak_40969","chr5",134941712,134942360,"union_peak_25622",336
"112","chr8",22757151,22757981,"union_peak_48361","chr8",22756905,22757667,"union_peak_30218",516
"113","chr8",25132364,25133041,"union_peak_48411","chr8",25132258,25132992,"union_peak_30242",628
"114","chr12",103331179,103332103,"union_peak_13070","chr12",103330961,103332093,"union_peak_8077",914
"115","chr14",17659994,17661053,"union_peak_16087","chr14",17660036,17660549,"union_peak_9964",513
"116","chr17",33752142,33753082,"union_peak_23422","chr17",33752466,33752705,"union_peak_14552",239
"117","chr16",89836907,89837560,"union_peak_21938","chr16",89836907,89837726,"union_peak_13664",653
"118","chr11",114883009,114883703,"union_peak_10702","chr11",114883150,114883795,"union_peak_6637",553
"119","chr14",65373986,65375080,"union_peak_17161","chr14",65374143,65374564,"union_peak_10648",421
"120","chr3",121493747,121494396,"union_peak_34465","chr3",121493596,121494587,"union_peak_21468",649
"121","chr11",5629153,5629510,"union_peak_6935","chr11",5628898,5629207,"union_peak_4368",54
"122","chr7",73572404,73573118,"union_peak_46166","chr7",73572384,73573130,"union_peak_28911",714
"123","chr3",52954569,52955341,"union_peak_32990","chr3",52954321,52955304,"union_peak_20508",735
"124","chr6",41547778,41548264,"union_peak_42188","chr6",41547795,41548266,"union_peak_26355",469
"125","chr6",38874767,38875339,"union_peak_42102","chr6",38874200,38875851,"union_peak_26297",572
"126","chr1",179240616,179241094,"union_peak_3215","chr1",179240320,179241158,"union_peak_2023",478
"127","chr2",160701677,160702058,"union_peak_31702","chr2",160701456,160702026,"union_peak_19743",349
"128","chr4",132815419,132816164,"union_peak_37214","chr4",132815444,132815960,"union_peak_23244",516
"129","chr15",28081045,28081616,"union_peak_18291","chr15",28080969,28081720,"union_peak_11368",571
"130","chr3",9249745,9251218,"union_peak_32456","chr3",9249470,9250245,"union_peak_20157",500
"131","chr10",118556237,118556982,"union_peak_6388","chr10",118555717,118557099,"union_peak_4007",745
"132","chr17",87118791,87119587,"union_peak_24848","chr17",87118949,87119515,"union_peak_15500",566
"133","chr17",73246736,73247338,"union_peak_24462","chr17",73246553,73247480,"union_peak_15234",602
"134","chr1",79643492,79644488,"union_peak_1201","chr1",79643601,79644200,"union_peak_782",599
"135","chr15",64113078,64113656,"union_peak_18875","chr15",64113444,64113722,"union_peak_11753",212
"136","chr10",13446552,13447118,"union_peak_3833","chr10",13446413,13446949,"union_peak_2381",397
"137","chr7",81004478,81005271,"union_peak_46497","chr7",81004321,81005308,"union_peak_29098",793
"138","chr19",34505053,34505616,"union_peak_27438","chr19",34505003,34505361,"union_peak_17091",308
"139","chr1",191193530,191194438,"union_peak_3504","chr1",191193577,191194449,"union_peak_2185",861
"140","chr11",21191841,21192640,"union_peak_7184","chr11",21191986,21192469,"union_peak_4533",483
"141","chr1",60868358,60868823,"union_peak_926","chr1",60868242,60868550,"union_peak_598",192
"142","chr19",46609718,46609944,"union_peak_27851","chr19",46609546,46610074,"union_peak_17332",226
"143","chr11",79366268,79366622,"union_peak_9104","chr11",79366171,79366724,"union_peak_5679",354
"144","chr12",112849292,112849756,"union_peak_13413","chr12",112849211,112849601,"union_peak_8255",309
"145","chr11",100323544,100323866,"union_peak_10062","chr11",100323487,100323749,"union_peak_6260",205
"146","chr15",77727104,77727584,"union_peak_19252","chr15",77727040,77727575,"union_peak_11981",471
"147","chr1",74262407,74262947,"union_peak_1114","chr1",74262543,74263130,"union_peak_737",404
"148","chr15",96344832,96345479,"union_peak_19950","chr15",96345024,96345303,"union_peak_12389",279
"149","chr13",46159151,46159792,"union_peak_14569","chr13",46159370,46159642,"union_peak_8958",272
"150","chr4",118999703,119000501,"union_peak_36692","chr4",118999623,119000412,"union_peak_22946",709
"151","chr8",84209869,84210778,"union_peak_49336","chr8",84210415,84210849,"union_peak_30822",363
"152","chr6",67170275,67170706,"union_peak_42672","chr6",67170286,67170837,"union_peak_26648",420
"153","chr8",125680975,125681708,"union_peak_50561","chr8",125681087,125681422,"union_peak_31511",335
"154","chr9",110953774,110954584,"union_peak_53315","chr9",110953858,110954308,"union_peak_33228",450
"155","chr5",122274705,122275262,"union_peak_40586","chr5",122274503,122275247,"union_peak_25365",542
"156","chr11",54726878,54727941,"union_peak_7975","chr11",54726988,54729105,"union_peak_5018",953
"157","chr8",115159385,115160364,"union_peak_50020","chr8",115159512,115160345,"union_peak_31231",833
"158","chr1",160045959,160046283,"union_peak_2671","chr1",160044367,160046480,"union_peak_1659",324
"159","chr19",8019161,8020385,"union_peak_26783","chr19",8019177,8020391,"union_peak_16665",1208
"160","chr2",61578253,61578843,"union_peak_29698","chr2",61577960,61578876,"union_peak_18497",590
"161","chr4",129610031,129610545,"union_peak_37053","chr4",129609978,129610500,"union_peak_23150",469
"162","chr11",87758313,87760112,"union_peak_9483","chr11",87758342,87760013,"union_peak_5919",1671
"163","chr2",163749652,163750707,"union_peak_31769","chr2",163749847,163750199,"union_peak_19777",352
"164","chr2",132039765,132040524,"union_peak_31106","chr2",132039807,132040432,"union_peak_19415",625
"165","chr2",30727795,30728450,"union_peak_29032","chr2",30727845,30728495,"union_peak_18072",605
"166","chr11",100609781,100610502,"union_peak_10084","chr11",100608798,100610639,"union_peak_6274",721
"167","chr2",70726913,70727568,"union_peak_29831","chr2",70726882,70727417,"union_peak_18590",504
"168","chr1",52638905,52639588,"union_peak_658","chr1",52639169,52639404,"union_peak_421",235
"169","chr9",116084116,116085027,"union_peak_53426","chr9",116084284,116084781,"union_peak_33301",497
"170","chr15",77756779,77758305,"union_peak_19258","chr15",77756776,77757267,"union_peak_11984",488
"171","chr19",4058950,4061562,"union_peak_26498","chr19",4059116,4061544,"union_peak_16490",2428
"172","chr17",48318668,48319275,"union_peak_24006","chr17",48318733,48319260,"union_peak_14938",527
"173","chr13",21233820,21234646,"union_peak_13864","chr13",21233687,21234946,"union_peak_8559",826
"174","chr14",7913630,7914569,"union_peak_15999","chr14",7913729,7914477,"union_peak_9904",748
"175","chr2",79192017,79192372,"union_peak_30100","chr2",79192344,79192718,"union_peak_18765",28
"176","chr5",110807921,110808714,"union_peak_40049","chr5",110808098,110808943,"union_peak_25069",616
"177","chr13",23516915,23518440,"union_peak_13951","chr13",23516763,23519537,"union_peak_8622",1525
"178","chr4",44159760,44160309,"union_peak_35669","chr4",44159757,44160258,"union_peak_22269",498
"179","chr7",16930927,16931456,"union_peak_44882","chr7",16930884,16932089,"union_peak_28085",529
"180","chr11",117878211,117878843,"union_peak_10976","chr11",117878142,117878719,"union_peak_6804",508
"181","chr5",29195538,29196291,"union_peak_38607","chr5",29195488,29195794,"union_peak_24145",256
"182","chr17",29044248,29045528,"union_peak_23104","chr17",29044839,29045319,"union_peak_14378",480
"183","chr3",58516660,58517846,"union_peak_33027","chr3",58517062,58517666,"union_peak_20539",604
"184","chr10",62500164,62501477,"union_peak_4883","chr10",62500168,62501378,"union_peak_3045",1210
"185","chr13",51839581,51840156,"union_peak_14720","chr13",51839461,51840268,"union_peak_9051",575
"186","chr1",156985923,156986833,"union_peak_2647","chr1",156985943,156986815,"union_peak_1645",872
"187","chr18",32979095,32980129,"union_peak_25284","chr18",32979062,32980011,"union_peak_15758",916
"188","chr9",14262351,14263120,"union_peak_50804","chr9",14262345,14263025,"union_peak_31669",674
"189","chr13",8831471,8832134,"union_peak_13691","chr13",8830960,8832087,"union_peak_8445",616
"190","chr15",79895466,79896291,"union_peak_19458","chr15",79895479,79896562,"union_peak_12108",812
"191","chr1",36321549,36322200,"union_peak_253","chr1",36321823,36322101,"union_peak_175",278
"192","chr19",53433960,53434439,"union_peak_27975","chr19",53433821,53434564,"union_peak_17413",479
"193","chr3",90211858,90212496,"union_peak_33655","chr3",90211816,90212662,"union_peak_20932",638
"194","chr6",38326362,38327094,"union_peak_42064","chr6",38326578,38327091,"union_peak_26276",513
"195","chr1",144273018,144273546,"union_peak_2409","chr1",144272966,144273815,"union_peak_1490",528
"196","chr14",121101840,121103059,"union_peak_17838","chr14",121101860,121102312,"union_peak_11073",452
"197","chr14",121101840,121103059,"union_peak_17838","chr14",121102596,121103023,"union_peak_11074",427
"198","chr15",76907984,76908519,"union_peak_19226","chr15",76908074,76908802,"union_peak_11965",445
"199","chr2",167723516,167724166,"union_peak_32064","chr2",167723528,167724343,"union_peak_19923",638
"200","chr9",51977430,51978043,"union_peak_51696","chr9",51977047,51978279,"union_peak_32213",613
"201","chr14",61046126,61046840,"union_peak_17025","chr14",61046159,61046749,"union_peak_10557",590
"202","chr2",75637964,75638397,"union_peak_30010","chr2",75638029,75638441,"union_peak_18697",368
"203","chr4",103039183,103039673,"union_peak_36412","chr4",103038946,103039838,"union_peak_22758",490
"204","chr16",23114000,23116082,"union_peak_20908","chr16",23114085,23114389,"union_peak_12959",304
"205","chr7",114452945,114453868,"union_peak_47169","chr7",114453175,114453942,"union_peak_29487",693
"206","chr14",27376012,27376662,"union_peak_16344","chr14",27375935,27376618,"union_peak_10126",606
"207","chr10",40190825,40191622,"union_peak_4414","chr10",40191112,40191511,"union_peak_2769",399
"208","chr2",131820192,131821425,"union_peak_31086","chr2",131819997,131821166,"union_peak_19403",974
"209","chr11",96944724,96945112,"union_peak_9782","chr11",96943376,96945020,"union_peak_6094",296
"210","chr7",19618774,19619623,"union_peak_44984","chr7",19618915,19619183,"union_peak_28147",268
"211","chr10",96481112,96481763,"union_peak_5977","chr10",96481121,96481676,"union_peak_3743",555
"212","chr11",54703214,54704008,"union_peak_7972","chr11",54703262,54703903,"union_peak_5017",641
"213","chr11",54958439,54958974,"union_peak_8003","chr11",54958368,54958968,"union_peak_5034",529
"214","chr1",129651371,129652148,"union_peak_1974","chr1",129651282,129651739,"union_peak_1232",368
"215","chr10",75222256,75223020,"union_peak_5086","chr10",75222397,75222889,"union_peak_3171",492
"216","chr14",71075588,71076295,"union_peak_17337","chr14",71075462,71076238,"union_peak_10749",650
"217","chr10",67911632,67912761,"union_peak_4993","chr10",67911418,67912347,"union_peak_3118",715
"218","chr10",21178369,21179097,"union_peak_4059","chr10",21177992,21179172,"union_peak_2542",728
"219","chr8",10945777,10946410,"union_peak_48172","chr8",10945734,10946456,"union_peak_30102",633
"220","chr15",97780830,97781194,"union_peak_20035","chr15",97780608,97781321,"union_peak_12453",364
"221","chr7",24406736,24407557,"union_peak_45035","chr7",24406838,24407458,"union_peak_28184",620
"222","chr9",107306036,107306524,"union_peak_53114","chr9",107306161,107306503,"union_peak_33088",342
"223","chr7",19300580,19302378,"union_peak_44945","chr7",19300599,19301576,"union_peak_28123",977
"224","chr12",77292526,77293247,"union_peak_12393","chr12",77292705,77293039,"union_peak_7675",334
"225","chr10",96623220,96623954,"union_peak_5995","chr10",96623065,96623929,"union_peak_3758",709
"226","chr13",23437587,23438766,"union_peak_13942","chr13",23437239,23438923,"union_peak_8616",1179
"227","chr3",130901450,130901830,"union_peak_34600","chr3",130900877,130902054,"union_peak_21567",380
"228","chr17",83906737,83907418,"union_peak_24691","chr17",83906778,83907327,"union_peak_15395",549
"229","chr1",164061379,164062273,"union_peak_2803","chr1",164061622,164062348,"union_peak_1745",651
"230","chr4",63704073,63704690,"union_peak_36051","chr4",63703936,63704888,"union_peak_22529",617
"231","chr5",31094557,31095773,"union_peak_38671","chr5",31093684,31095768,"union_peak_24177",1211
"232","chr5",137856652,137857418,"union_peak_41145","chr5",137856828,137857168,"union_peak_25718",340
"233","chr1",152386070,152387024,"union_peak_2485","chr1",152386144,152387090,"union_peak_1545",880
"234","chr1",161170630,161171152,"union_peak_2718","chr1",161170459,161171053,"union_peak_1690",423
"235","chr8",36193683,36194591,"union_peak_48653","chr8",36193790,36194570,"union_peak_30395",780
"236","chr18",56455514,56456093,"union_peak_25708","chr18",56455178,56456209,"union_peak_16012",579
"237","chr9",32723028,32723364,"union_peak_51151","chr9",32722760,32723262,"union_peak_31891",234
"238","chr19",4066044,4066924,"union_peak_26500","chr19",4066212,4067226,"union_peak_16491",712
"239","chr10",108092728,108093326,"union_peak_6109","chr10",108093026,108093777,"union_peak_3836",300
"240","chr9",64049481,64050320,"union_peak_52185","chr9",64049376,64050174,"union_peak_32478",693
"241","chr4",47322391,47322771,"union_peak_35779","chr4",47322288,47322831,"union_peak_22339",380
"242","chr5",148379491,148380241,"union_peak_41519","chr5",148379078,148380129,"union_peak_25928",638
"243","chr16",36056219,36056950,"union_peak_21288","chr16",36056606,36056868,"union_peak_13181",262
"244","chr11",79521912,79522253,"union_peak_9110","chr11",79521873,79522464,"union_peak_5683",341
"245","chr15",100089590,100090221,"union_peak_20193","chr15",100089781,100090389,"union_peak_12545",440
"246","chr2",22589480,22590014,"union_peak_28650","chr2",22589590,22590156,"union_peak_17847",424
"247","chr3",130905068,130905591,"union_peak_34601","chr3",130905365,130905602,"union_peak_21568",226
"248","chr1",64302685,64303282,"union_peak_1004","chr1",64303255,64303549,"union_peak_645",27
"249","chr17",23841231,23841588,"union_peak_22709","chr17",23840943,23841714,"union_peak_14157",357
"250","chr3",83789582,83790458,"union_peak_33322","chr3",83789927,83790719,"union_peak_20736",531
"251","chr12",84162887,84163647,"union_peak_12603","chr12",84162886,84163597,"union_peak_7795",710
"252","chr2",173274748,173276851,"union_peak_32239","chr2",173276320,173276972,"union_peak_20030",531
"253","chr4",125124553,125125265,"union_peak_36886","chr4",125124528,125125167,"union_peak_23049",614
"254","chr6",29264321,29264965,"union_peak_41841","chr6",29264539,29264823,"union_peak_26142",284
"255","chr4",129827450,129828184,"union_peak_37071","chr4",129827544,129828082,"union_peak_23168",538
"256","chr17",87636058,87637317,"union_peak_24881","chr17",87636157,87636414,"union_peak_15516",257
"257","chr17",86852381,86853111,"union_peak_24827","chr17",86852235,86853331,"union_peak_15486",730
"258","chr15",79728776,79729647,"union_peak_19444","chr15",79728770,79729591,"union_peak_12100",815
"259","chr9",108003711,108003898,"union_peak_53172","chr9",108001847,108003760,"union_peak_33126",49
"260","chr3",141778340,141779005,"union_peak_34830","chr3",141778448,141779066,"union_peak_21707",557
"261","chr7",101213416,101214243,"union_peak_46848","chr7",101213629,101214045,"union_peak_29296",416
"262","chr1",82806918,82807721,"union_peak_1284","chr1",82806912,82807545,"union_peak_822",627
"263","chr11",48823484,48824368,"union_peak_7643","chr11",48823333,48824276,"union_peak_4799",792
"264","chr11",85126511,85127253,"union_peak_9331","chr11",85126442,85127346,"union_peak_5826",742
"265","chr5",123650475,123651041,"union_peak_40694","chr5",123650635,123651097,"union_peak_25446",406
"266","chr15",82040557,82041129,"union_peak_19641","chr15",82040614,82041227,"union_peak_12223",515
"267","chr10",18844722,18845488,"union_peak_3922","chr10",18844854,18845271,"union_peak_2447",417
"268","chr2",25533900,25534919,"union_peak_28749","chr2",25533799,25535063,"union_peak_17911",1019
"269","chr10",81450006,81450597,"union_peak_5534","chr10",81449965,81450468,"union_peak_3443",462
"270","chr15",60184650,60185043,"union_peak_18765","chr15",60184726,60186250,"union_peak_11685",317
"271","chr11",86807056,86808141,"union_peak_9430","chr11",86807169,86808165,"union_peak_5874",972
"272","chr2",166693330,166693791,"union_peak_31971","chr2",166693580,166693883,"union_peak_19875",211
"273","chrX",7854367,7854983,"union_peak_53906","chrX",7854623,7855126,"union_peak_33612",360
"274","chr19",46314578,46315458,"union_peak_27820","chr19",46315169,46315445,"union_peak_17313",276
"275","chr10",111226548,111227229,"union_peak_6160","chr10",111226231,111227422,"union_peak_3862",681
"276","chr11",86815766,86816600,"union_peak_9432","chr11",86816198,86816968,"union_peak_5877",402
"277","chr9",45121842,45122513,"union_peak_51527","chr9",45121987,45122294,"union_peak_32123",307
"278","chr1",161750652,161751788,"union_peak_2751","chr1",161750683,161751670,"union_peak_1708",987
"279","chr4",63841898,63842862,"union_peak_36053","chr4",63842474,63842743,"union_peak_22531",269
"280","chr14",70076604,70077212,"union_peak_17276","chr14",70074325,70076970,"union_peak_10714",366
"281","chr12",112719891,112720408,"union_peak_13399","chr12",112719694,112720565,"union_peak_8249",517
"282","chr9",32743659,32744216,"union_peak_51158","chr9",32743818,32744376,"union_peak_31896",398
"283","chr9",77806625,77807216,"union_peak_52584","chr9",77806721,77807323,"union_peak_32738",495
"284","chr3",59087938,59088565,"union_peak_33046","chr3",59087897,59088382,"union_peak_20551",444
"285","chr13",21279500,21280160,"union_peak_13869","chr13",21279348,21280161,"union_peak_8561",660
"286","chr11",6391476,6391942,"union_peak_6980","chr11",6391564,6391959,"union_peak_4398",378
"287","chr19",30043592,30044338,"union_peak_27323","chr19",30043625,30044051,"union_peak_17008",426
"288","chr19",16028908,16029464,"union_peak_27096","chr19",16028903,16029325,"union_peak_16868",417
"289","chr17",6816146,6816770,"union_peak_22410","chr17",6816366,6816612,"union_peak_13951",246
"290","chr12",59055119,59055657,"union_peak_12056","chr12",59055101,59055583,"union_peak_7453",464
"291","chr8",106052547,106053112,"union_peak_49792","chr8",106052672,106052937,"union_peak_31086",265
"292","chr19",53547627,53547926,"union_peak_27994","chr19",53547332,53547639,"union_peak_17427",12
"293","chr3",8766658,8767809,"union_peak_32440","chr3",8766696,8767285,"union_peak_20150",589
"294","chr12",25311529,25312194,"union_peak_11672","chr12",25311613,25312068,"union_peak_7210",455
"295","chr11",5061470,5062340,"union_peak_6899","chr11",5061801,5062339,"union_peak_4343",538
"296","chr4",59190520,59191229,"union_peak_35913","chr4",59190431,59191292,"union_peak_22437",709
